name;nation;continent;standard;rapid;blitz;best;worst;gender;age;hair_color;wp_win;wp_draw;wp_lose;bp_win;bp_draw;bp_lose;total_games;win_rate;lose_rate;draw_rate;pc_index
Fawzy, Adham;EGY;AFRICA;2495;2530;2539;blitz;standard;Male;23;Dark;687;95;156;629;125;163;1855;0.740700809;0.16819407;0.118598383;0.963016852
Ameir, Moheb;EGY;AFRICA;2366;2367;2303;rapid;blitz;Male;30;Dark;729;146;185;660;164;244;2128;0.685150376;0.17387218;0.145676692;0.918256792
Nassr, Lina;ALG;AFRICA;2038;1914;1914;standard;rapid;Female;20;Dark;248;52;66;219;58;82;725;0.684137931;0.182068966;0.151724138;0.922757863
Bortnyk, Olexandr;UKR;EUROPE;2605;2643;2734;blitz;standard;Male;27;Blonde;653;215;97;568;240;142;1915;0.681984334;0.101305483;0.237597911;0.918952213
Henriquez Villagra, Cristobal;CHI;AMERICA;2628;2574;2542;standard;blitz;Male;27;Brown;565;175;105;480;193;142;1660;0.680722892;0.126506024;0.221686747;0.916047293
Grigoryan, Karen H.;ARM;EUROPE;2626;2667;2701;blitz;standard;Male;28;Dark;725;235;126;577;305;185;2153;0.673478867;0.117045982;0.250812819;0.881293958
Salinas Herrera, Pablo;CHI;AMERICA;2498;2455;2546;blitz;rapid;Male;29;Brown;493;128;105;406;177;156;1465;0.673037543;0.14334471;0.208191126;0.872174295
Cori, Jorge;PER;AMERICA;2650;2604;2559;standard;blitz;Male;28;Dark;541;172;110;422;194;171;1610;0.672049689;0.136645963;0.227329193;0.865615292
Valderrama Quiceno, Esteban Alb;COL;AMERICA;2426;2522;2543;blitz;standard;Male;30;Brown;419;174;55;366;174;88;1276;0.656739812;0.086206897;0.272727273;0.923768284
Supi, Luis Paulo;BRA;AMERICA;2608;2520;2512;standard;blitz;Male;27;Dark;254;111;26;233;123;27;774;0.656330749;0.067183463;0.302325581;0.971410133
Tang, Andrew;USA;AMERICA;2523;2433;2596;blitz;rapid;Male;24;Dark;340;88;95;262;126;133;1044;0.651340996;0.181992337;0.204980843;0.849603127
Mitrabha, Guha;IND;ASIA;2510;2401;2507;standard;rapid;Male;22;Dark;556;159;143;469;201;182;1710;0.650292398;0.167251462;0.210526316;0.902455647
Makhnev, Denis;KAZ;ASIA;2483;2505;2515;blitz;standard;Male;23;Blonde;709;218;170;603;259;225;2184;0.649267399;0.155677656;0.218406593;0.903714829
Lagarde, Maxime;FRA;EUROPE;2579;2627;2576;rapid;blitz;Male;29;Brown;750;271;150;632;309;205;2317;0.647388865;0.129477773;0.250323694;0.907574821
Rodriguez Rueda, Paula Andrea;COL;AMERICA;2197;2312;2199;rapid;standard;Female;27;Dark;319;99;90;252;122;110;992;0.643145161;0.181451613;0.222782258;0.8915079
Martinez Alcantara, Jose Eduardo;PER;AMERICA;2607;2643;2711;blitz;standard;Male;24;Dark;444;164;88;386;203;100;1385;0.641155235;0.127075812;0.264981949;0.936222111
Salem, A.R. Saleh;UAE;ASIA;2677;2662;2639;standard;blitz;Male;30;Dark;753;252;196;649;284;249;2383;0.6319765;0.164498531;0.224926563;0.914351411
Campos, Maria Jose;ARG;AMERICA;2236;2137;2170;standard;rapid;Female;24;Dark;201;60;65;154;55;107;642;0.626168224;0.202492212;0.179127726;0.810578662
Bellahcene, Bilel;ALG;AFRICA;2469;2529;2566;blitz;standard;Male;25;Blonde;744;275;186;624;281;277;2387;0.623376623;0.155844156;0.232928362;0.884147541
Rios, Cristhian Camilo;COL;AMERICA;2469;2483;2562;blitz;standard;Male;30;Dark;623;258;138;528;283;171;2001;0.622688656;0.137931034;0.270364818;0.923837181
Silva, David;ANG;AFRICA;2350;2371;2398;blitz;standard;Male;25;Dark;284;92;82;258;99;98;913;0.622124863;0.179627601;0.209200438;0.937962038
Msellek, Ilyass;MAR;AFRICA;2420;2363;2302;standard;blitz;Male;25;Dark;277;86;90;232;81;126;892;0.621076233;0.201793722;0.187219731;0.878719391
Mona, Khaled;EGY;AFRICA;2105;2139;2072;rapid;blitz;Female;29;Brown;323;59;141;291;52;176;1042;0.619961612;0.270633397;0.106525912;0.90622173
Holt, Conrad;USA;AMERICA;2540;2548;2592;blitz;standard;Male;30;Blonde;292;116;73;243;134;87;945;0.617989418;0.154497354;0.264550265;0.918165025
Wafa, Shahenda;EGY;AFRICA;2099;2020;2008;standard;blitz;Female;25;Dark;303;71;117;272;77;145;985;0.615228426;0.237563452;0.150253807;0.911711588
Rakotomaharo, Fy Antenaina;MAD;AFRICA;2454;2395;2427;standard;rapid;Male;24;Dark;394;122;128;317;158;165;1284;0.613707165;0.199376947;0.218068536;0.875769231
Maghsoodloo, Parham;IRI;ASIA;2730;2672;2647;standard;blitz;Male;23;Dark;656;242;181;582;283;195;2139;0.613370734;0.169237962;0.245441795;0.947835774
Aravindh, Chithambaram VR.;IND;ASIA;2607;2553;2596;standard;rapid;Male;24;Dark;662;251;191;568;268;223;2163;0.612112806;0.176606565;0.239944521;0.929307972
Ghosh, Diptayan;IND;ASIA;2565;2442;2552;standard;rapid;Male;25;Dark;455;220;77;347;280;113;1492;0.609919571;0.103217158;0.335120643;0.87592442
Moussard, Jules;FRA;EUROPE;2667;2614;2610;standard;blitz;Male;28;Brown;500;195;136;429;218;163;1641;0.609384522;0.16575259;0.251675807;0.923762591
Firouzja, Alireza;FRA;EUROPE;2785;2745;2904;blitz;rapid;Male;20;Brown;526;204;143;442;211;203;1729;0.608444187;0.165413534;0.240023135;0.889129375
Sosa, Tomas;ARG;AMERICA;2544;2480;2560;blitz;rapid;Male;25;Brown;549;254;125;491;235;167;1821;0.602965404;0.137287205;0.268533773;0.935428083
Cori T., Deysi;PER;AMERICA;2362;2279;2292;standard;rapid;Female;30;Dark;551;181;195;444;187;273;1831;0.601856909;0.212998362;0.200983069;0.859197711
Dominguez, Laura Lucia;COL;AMERICA;2016;1961;2093;blitz;rapid;Female;24;Brown;368;80;163;368;87;157;1223;0.601798855;0.266557645;0.136549469;1.006930427
Moaataz, Ayah;EGY;AFRICA;2059;1959;1993;standard;rapid;Female;26;Dark;144;41;59;133;30;72;479;0.60125261;0.246346555;0.14822547;0.934152493
Zherebukh, Yaroslav;USA;AMERICA;2623;2620;2531;standard;blitz;Male;30;Blonde;343;155;83;247;189;126;1143;0.600174978;0.145231846;0.30096238;0.839584717
Wafa, Shrook;EGY;AFRICA;2138;2038;2017;standard;blitz;Female;26;Dark;317;79;136;301;71;153;1057;0.599810785;0.257332072;0.141911069;0.956484338
Vakhidov, Jakhongir;UZB;ASIA;2607;2524;2568;standard;rapid;Male;28;Brown;453;172;136;377;179;199;1516;0.59762533;0.179419525;0.231530343;0.872369731
Chumpitaz, Ann;PER;AMERICA;2259;2204;2148;standard;blitz;Female;29;Dark;212;72;78;186;69;94;711;0.596343179;0.219409283;0.198312236;0.922231722
Pichot, Alan;ARG;AMERICA;2638;2549;2573;standard;rapid;Male;25;Dark;642;249;192;559;262;255;2159;0.594719778;0.17786012;0.23668365;0.906051986
Yakubboev, Nodirbek;UZB;ASIA;2630;2574;2575;standard;rapid;Male;21;Blonde;417;186;98;340;218;147;1406;0.593172119;0.13940256;0.287339972;0.875397024
Alinasab, Mobina;IRI;ASIA;2334;2156;2149;standard;blitz;Female;23;Dark;517;161;204;424;175;272;1753;0.589845978;0.232743868;0.19167142;0.866878354
Nyzhnyk, Illya;UKR;EUROPE;2644;2658;2643;rapid;blitz;Male;27;Brown;423;250;64;319;279;102;1437;0.588726514;0.089074461;0.368128045;0.880903285
Le, Tuan Minh;VIE;ASIA;2542;2501;2566;blitz;rapid;Male;27;Dark;171;82;41;142;95;52;583;0.586620926;0.140651801;0.303602058;0.909332768
Sturt, Raven;USA;AMERICA;2470;2456;2402;standard;blitz;Male;30;Brown;380;139;140;336;125;177;1297;0.585967618;0.215882806;0.203546646;0.915721404
Argote Heredia, Valentina;COL;AMERICA;2216;1999;2083;standard;rapid;Female;23;Dark;453;97;223;427;94;253;1547;0.585649644;0.288299935;0.123464771;0.943943364
Tabatabaei, M. Amin;IRI;ASIA;2677;2558;2575;standard;rapid;Male;22;Brown;603;239;197;527;274;231;2071;0.582327378;0.190246258;0.247706422;0.92526488
Perez Ponsa, Federico;ARG;AMERICA;2532;2593;2590;rapid;standard;Male;30;Dark;432;253;73;382;234;111;1485;0.581818182;0.098316498;0.327946128;0.931562854
Wagner, Dinara;GER;EUROPE;2414;2350;2290;standard;blitz;Female;24;Dark;574;169;259;459;193;320;1974;0.581560284;0.262411348;0.183383992;0.869620443
Tan, Justin;AUS;ASIA;2510;2403;2531;blitz;rapid;Male;26;Dark;410;171;140;307;199;184;1411;0.581148122;0.198440822;0.262225372;0.857241258
Librelato, Kathie Goulart;BRA;AMERICA;2182;2108;2112;standard;rapid;Female;25;Brown;204;58;91;183;54;113;703;0.580369844;0.258890469;0.159317212;0.909012876
Ortiz Verdezoto, Anahi;ECU;AMERICA;2187;2105;2087;standard;blitz;Female;22;Dark;234;75;98;219;75;109;810;0.577777778;0.241975309;0.185185185;0.954128566
Lorparizangeneh, Shahin;IRI;ASIA;2467;2369;2526;blitz;rapid;Male;24;Dark;386;176;107;304;237;129;1339;0.576549664;0.159820762;0.308439134;0.890019838
Sethuraman, S.P.;IND;ASIA;2639;2533;2543;standard;rapid;Male;30;Dark;653;275;233;531;324;253;2269;0.575583958;0.205376818;0.263992948;0.918594455
Tsolakidou, Stavroula;GRE;EUROPE;2373;2281;2351;standard;rapid;Female;23;Blonde;387;152;121;398;157;132;1347;0.574610245;0.1796585;0.229398664;0.988710423
Narva, Mai;EST;EUROPE;2383;2281;2257;standard;blitz;Female;24;Blonde;532;155;246;467;153;302;1855;0.573584906;0.265229111;0.166037736;0.902353197
Voit, Daria;RUS;EUROPE;2349;2311;2252;standard;blitz;Female;29;Blonde;718;280;278;574;298;359;2507;0.572796171;0.221779019;0.230554448;0.873461226
Shuvalova, Polina;RUS;EUROPE;2475;2357;2281;standard;blitz;Female;22;Blonde;603;198;250;528;211;317;2107;0.572377788;0.237304224;0.194114855;0.898148823
Bulmaga, Irina;ROU;EUROPE;2422;2371;2340;standard;blitz;Female;30;Brown;752;302;269;655;314;341;2633;0.571211546;0.204329662;0.233953665;0.908148411
Obolentseva, Alexandra;RUS;EUROPE;2323;2202;2256;standard;rapid;Female;22;Blonde;346;133;137;297;149;152;1214;0.570016474;0.225700165;0.232289951;0.927714604
Fataliyeva, Ulviyya;AZE;EUROPE;2401;2272;2268;standard;blitz;Female;27;Dark;348;113;161;277;102;221;1222;0.569558101;0.263502455;0.17594108;0.840609806
Erigaisi Arjun;IND;ASIA;2701;2685;2737;blitz;rapid;Male;20;Dark;511;257;141;419;252;215;1795;0.569359331;0.157103064;0.28356546;0.874351611
Santos Latasa, Jaime;ESP;EUROPE;2656;2632;2604;standard;blitz;Male;27;Brown;466;270;98;424;270;114;1642;0.567600487;0.119366626;0.328867235;0.960045963
Artemiev, Vladislav;RUS;EUROPE;2701;2735;2800;blitz;standard;Male;25;Blonde;612;366;116;504;386;175;2159;0.566929134;0.107457156;0.348309403;0.900602947
Vokhidov, Shamsiddin;UZB;ASIA;2601;2535;2570;standard;rapid;Male;21;Dark;471;176;196;393;199;230;1665;0.565765766;0.235435435;0.225225225;0.903545826
Arabidze, Meri;GEO;EUROPE;2441;2327;2405;standard;rapid;Female;29;Blonde;623;299;190;518;300;273;2203;0.565592374;0.172492056;0.271901952;0.881369487
Sanal, Vahap;TUR;EUROPE;2582;2548;2606;blitz;rapid;Male;25;Brown;636;243;246;573;244;311;2253;0.564580559;0.218375499;0.216156236;0.915051612
Urazayev, Arystanbek;KAZ;ASIA;2460;2531;2449;rapid;blitz;Male;25;Brown;440;169;180;392;173;205;1559;0.5644644;0.230917255;0.219371392;0.934808661
Shevchenko, Kirill;ROU;EUROPE;2684;2598;2562;standard;blitz;Male;21;Blonde;562;301;146;453;295;235;1992;0.564257028;0.146586345;0.299196787;0.865098963
Idani, Pouya;IRI;ASIA;2633;2516;2574;standard;rapid;Male;28;Dark;496;272;119;429;273;172;1761;0.563316298;0.135150483;0.309483248;0.908087543
Castrillon Gomez, Melissa;COL;AMERICA;2235;2144;2187;standard;rapid;Female;28;Dark;580;204;249;539;189;302;2063;0.56228793;0.241396025;0.190499273;0.931591123
Martirosyan, Haik M.;ARM;EUROPE;2675;2587;2770;blitz;rapid;Male;23;Dark;360;185;95;275;215;152;1282;0.561622465;0.148205928;0.31201248;0.842670522
Maltsevskaya, Aleksandra;POL;EUROPE;2410;2380;2302;standard;blitz;Female;21;Blonde;1119;285;591;1006;310;675;3986;0.561465128;0.296537883;0.149272454;0.922181923
Karthikeyan, Murali;IND;ASIA;2627;2523;2523;standard;rapid;Male;24;Brown;546;283;156;484;283;194;1946;0.561151079;0.16032888;0.290853032;0.932539968
Martinez Ramirez, Lennis;CUB;AMERICA;2428;2481;2410;rapid;blitz;Male;30;Brown;347;130;145;311;131;174;1238;0.560581583;0.234248788;0.21082391;0.922735941
Vaishali, Rameshbabu;IND;ASIA;2433;2373;2410;standard;rapid;Female;22;Dark;565;225;228;472;232;300;2022;0.558852621;0.225519288;0.226013848;0.879998824
Predke, Alexandr;SRB;EUROPE;2685;2582;2594;standard;rapid;Male;29;Blonde;570;275;185;459;334;217;2040;0.558823529;0.181372549;0.298529412;0.902326558
Indjic, Aleksandar;SRB;EUROPE;2618;2543;2614;standard;rapid;Male;28;Blonde;532;278;163;432;287;216;1908;0.557651992;0.170859539;0.296121593;0.892532496
Montilla Reyes, Jorcerys;COL;AMERICA;2139;2137;2033;standard;blitz;Female;28;Dark;176;64;80;172;53;87;632;0.556962025;0.253164557;0.185126582;0.978796844
Antova, Gabriela;BUL;EUROPE;2259;2202;2263;blitz;rapid;Female;21;Brown;374;142;160;336;126;205;1343;0.556962025;0.238272524;0.199553239;0.908727659
Fedoseev, Vladimir;FID;FIDE;2674;2752;2750;rapid;standard;Male;28;Blonde;680;354;203;539;382;286;2444;0.556464812;0.166121113;0.301145663;0.872980349
Niemann, Hans Moke;USA;AMERICA;2706;2577;2618;standard;rapid;Male;20;Blonde;438;166;183;355;183;251;1576;0.555837563;0.232233503;0.221446701;0.854833373
Balajayeva, Khanim;AZE;EUROPE;2327;2246;2207;standard;blitz;Female;22;Dark;237;105;84;174;128;126;854;0.555035129;0.196721311;0.272833724;0.818265459
Nomin-Erdene, Davaademberel;MGL;ASIA;2375;2259;2299;standard;rapid;Female;23;Dark;359;148;153;265;168;205;1298;0.553158706;0.235747304;0.243451464;0.833797882
Quesada Perez, Luis Ernesto;CUB;AMERICA;2562;2516;2492;standard;blitz;Male;24;Dark;225;117;62;201;122;87;814;0.552825553;0.152334152;0.293611794;0.910637932
Negi, Parimarjan;IND;ASIA;2624;2613;2613;standard;rapid;Male;30;Dark;266;175;58;167;206;92;964;0.55186722;0.12033195;0.395228216;0.819637724
Duda, Jan-Krzysztof;POL;EUROPE;2724;2782;2790;blitz;standard;Male;25;Blonde;476;256;126;341;346;181;1726;0.551564311;0.146002317;0.348783314;0.841189306
Chitlange Sakshi;IND;ASIA;2241;2108;2157;standard;rapid;Female;23;Dark;302;128;132;258;125;152;1097;0.550592525;0.240656335;0.230628988;0.919876411
Osmak, Yuliia;UKR;EUROPE;2440;2283;2291;standard;rapid;Female;25;Brown;529;226;212;461;224;270;1922;0.550468262;0.220603538;0.234131113;0.903738318
Goltseva, Ekaterina;RUS;EUROPE;2283;2244;2200;standard;blitz;Female;21;Blonde;511;193;232;434;228;262;1860;0.549462366;0.249462366;0.226344086;0.913772647
Gomez Barrera, Javiera Belen;CHI;AMERICA;2236;2119;2119;standard;rapid;Female;21;Dark;328;106;167;308;124;161;1194;0.549413735;0.279731993;0.192629816;0.984229838
Pachon Gutierrez, Adriana Paola;COL;AMERICA;2007;2004;2068;blitz;rapid;Female;27;Dark;316;96;162;295;83;200;1152;0.548611111;0.28125;0.155381944;0.918052968
